,Name,Creator,Repeats,Grade,Type,Stars1,Stars2
0,FAR FROM THE MADDING CROWD,Ben Moon,20928 repeats,6B+ (User grade 6B+),Feet follow hands,KKKKY,eee
1,WUTHERING HEIGHTS,Ben Moon,29496 repeats,6B+ (User grade 6B+),Feet follow hands,,
2,PROBLEM 3,Ally Patrick,612 repeats,6B+ (User grade 6B+),Feet follow hands,,
3,HARD TIMES,Ben Moon,7494 repeats,7A (User grade 7A),Feet follow hands,KkKkKkk,
4,PROBLEM 5,Ally Patrick,221 repeats,7A (User grade 7A),Feet follow hands,,
5,CRIME AND PUNISHMENT,Ben Moon,244 repeats,7B (User grade 7B),Feet follow hands,eee,
6,SHORTROUND,Ally Patrick,484 repeats,6C+ (User grade 6C+),Feet follow hands,,
7,VURT,Ben Moon,1138 repeats,7B (User grade 7B),Feet follow hands,,
8,PROBLEM 9,Ally Patrick,2112 repeats,7A+ (User grade 7A+),Feet follow hands,KKKKNY,
9,TESS,Ben Moon,8225 repeats,6C+ (User grade 6C+),Feet follow hands,,
10,PROBLEM 11,lucas Dourdourekas,2935 repeats,7A (User grade 7A),Feet follow hands,,
11,PROBLEM 12,lucas Dourdourekas,16 repeats,7B (User grade 7B),Feet follow hands,,
12,PROBLEM 13,lucas Dourdourekas,81 repeats,7A (User grade 7A),Feet follow hands,,
13,PROBLEM 14,lucas Dourdourekas,9 repeats,7B (User grade 7B),Feet follow hands,,
14,PROBLEM 15,lucas Dourdourekas,711 repeats,7B+ (User grade 7B+),Feet follow hands,KkKkKkk,
15,PROBLEM 16,lucas Dourdourekas,1025 repeats,7A+ (User grade 7A+),Feet follow hands,,
16,PROBLEM 17,lucas Dourdourekas,1 climber has repeated this problem,7A (User grade 7A),Feet follow hands,,
17,PROBLEM 18,lucas Dourdourekas,28 repeats,7B (User grade 7B),Feet follow hands,,
18,PROBLEM 19,lucas Dourdourekas,2158 repeats,6C (User grade 6C),Feet follow hands,,
19,PROBLEM 20,lucas Dourdourekas,361 repeats,7A (User grade 7A),Feet follow hands,,
20,PROBLEM 21,lucas Dourdourekas,1 climber has repeated this problem,7A+ (User grade 7A+),Feet follow hands,,
21,PROBLEM 22,lucas Dourdourekas,41 repeats,6C+ (User grade 6C+),Feet follow hands,,
22,PROBLEM 23,lucas Dourdourekas,229 repeats,7C (User grade 7C),Feet follow hands,,
23,CHAD,mattw,114 repeats,7B+ (User grade 7B+),Feet follow hands,,
24,ROCHDALE'S FINEST,mattw,99 repeats,6C (User grade 6C),Feet follow hands,eee,
